S.No,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,w
104,Punjab,GURDASPUR,2014,Rabi       ,Wheat,187000,627000,1
105,Chhattisgarh,RAIPUR,2014,Kharif     ,Rice,186042,376312,1
106,Maharashtra,AHMEDNAGAR,2014,Kharif     ,Bajra,186000,107700,1
107,Uttar Pradesh,KHERI,2014,Rabi       ,Wheat,185828,498172,1
108,Karnataka,GULBARGA,2014,Rabi       ,Gram,184515,155482,1
109,Chhattisgarh,BALOD,2014,Kharif     ,Rice,183795,348670,1
110,Punjab,AMRITSAR,2014,Kharif     ,Rice,182000,505000,1
111,Odisha,BALESHWAR,2014,Winter     ,Rice,181000,362000,1
112,Chhattisgarh,JASHPUR,2014,Kharif     ,Rice,180700,290404,1
113,Karnataka,BELGAUM,2014,Whole Year ,Sugarcane,180571,16296533,1
114,West Bengal,DINAJPUR UTTAR,2014,Winter     ,Rice,179862,466273,1
115,Karnataka,DAVANGERE,2014,Kharif     ,Maize,179496,576021,1
116,Telangana ,KARIMNAGAR,2014,Kharif     ,Rice,179282,632136,1
117,Chhattisgarh,KANKER,2014,Kharif     ,Rice,178689,477197,1
118,Andhra Pradesh,SPSR NELLORE,2014,Rabi       ,Rice,178491,736454,1
119,Andhra Pradesh,WEST GODAVARI,2014,Rabi       ,Rice,177811,891011,1
120,Telangana ,NALGONDA,2014,Kharif     ,Rice,177458,549765,1
121,Punjab,MOGA,2014,Kharif     ,Rice,177000,815000,1
122,Maharashtra,PARBHANI,2014,Rabi       ,Jowar,176600,87900,1
123,West Bengal,JALPAIGURI,2014,Winter     ,Rice,176420,433939,1
124,Telangana ,MAHBUBNAGAR,2014,Kharif     ,Maize,176277,317122,1
125,Punjab,TARN TARAN,2014,Kharif     ,Rice,176000,540000,1
126,Uttar Pradesh,GHAZIPUR,2014,Rabi       ,Wheat,175209,309379,1
127,Punjab,MOGA,2014,Rabi       ,Wheat,175000,794000,1
128,Maharashtra,GONDIA,2014,Kharif     ,Rice,174700,340600,1
129,Maharashtra,BULDHANA,2014,Kharif     ,Cotton(lint),174300,132500,1
130,Uttar Pradesh,FATEHPUR,2014,Rabi       ,Wheat,174246,341436,1
131,Odisha,BARGARH,2014,Winter     ,Rice,174000,485000,1
132,Uttar Pradesh,LALITPUR,2014,Rabi       ,Wheat,173401,367957,1
133,Punjab,GURDASPUR,2014,Kharif     ,Rice,173000,452000,1
134,Karnataka,BIJAPUR,2014,Rabi       ,Gram,171009,115021,1
135,Karnataka,TUMKUR,2014,Kharif     ,Ragi,170691,323016,1
136,Uttar Pradesh,SIDDHARTH NAGAR,2014,Kharif     ,Rice,170404,414082,1
137,Andhra Pradesh,EAST GODAVARI,2014,Rabi       ,Rice,168045,881396,1
138,Uttar Pradesh,RAE BARELI,2014,Rabi       ,Wheat,167432,270235,1
139,Punjab,JALANDHAR,2014,Kharif     ,Rice,167000,616000,1
